title,year,start_month,end_month,website,video,code,data,slides,report,description
Style Transfer of Images and Videos,2022,10,12,,,https://github.com/YichengShen/style-transfer-pytorch-implementations,,,,Two versions of PyTorch implementations of style transfer which can learn from existing artistic styles and generate new visually pleasing results. Version 2 enables fast transformation of high-resolution images and videos on GPU.
Brazilian E-Commerce Rating Prediction,2022,10,12,,,https://www.kaggle.com/code/yichengs/brazilian-e-commerce-rating-prediction,https://www.kaggle.com/datasets/olistbr/brazilian-ecommerce,,,"A big data project that uses a large e-commerce dataset to predict customers' review ratings. Detailed EDA, feature engineering, and modeling are included."
Automating Stock Trading with Reinforcement Learning,2022,9,12,,,https://github.com/yicheng-past/rl-auto-stock-trading,,,https://github.com/yicheng-past/rl-auto-stock-trading/blob/main/results/report.pdf,A ML project that studies the problem of automated stock trading using reinforcement learning. It leverages a deep reinforcement learning library to simulate a stock market environment and train an agent to maximize the return of a stock portfolio.
Kaggle: Google Landmark Recognition 2021,2021,8,10,,,,https://www.kaggle.com/c/landmark-recognition-2021/data,,,A competition about labeling landmarks in images. Awarded Silver Medal. Ranked top 10%.
Kaggle: Google Smartphone Decimeter Challenge,2021,5,8,,,,https://www.kaggle.com/c/google-smartphone-decimeter-challenge/data,,,A competition about enhancing accuracy of GPS positioning. Awarded Bronze Medal. Ranked top 10%.
GoGreen,2021,1,5,https://yichengshen.github.io/go-green/#/,https://youtu.be/TNegBiqt9k0,https://github.com/YichengShen/go-green,,,,A data-centric web application that increases people's awareness of environmental issues and promotes eco-friendly transportation.
AlphaGame,2020,9,12,,,https://github.com/ZQZCalin/DQN-model-trained-on-Round-based-games,,,,"AI agents trained with 2 algorithms to make smart decisions in 3 games, Snake, Pong, and Flappy Bird."
CarSpeech,2020,10,11,https://yichengshen.github.io/car_speech/,,https://github.com/YichengShen/car_speech,http://www.isle.illinois.edu/sst/AVICAR/,,,Built convolutional neural network models using Tensorflow to classify important words in human speech from the AVICAR dataset recorded in vehicles.
Student Evaluation System,2020,1,5,,,https://github.com/YichengShen/EaglesPeerEvaluationSystem,,,,A software that enables students to fill out peer reviews online and then aggregates the results for instructors.
